predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
Redstone GC (Fall Creek),sg_ott,0.0019,0.0019,0.0057,2,0,0.5,53.5,0.0,2005-04-24,The Memorial,2026-06-04
The Riviera Country Club,sg_ott,-0.0011,0.0018,0.0146,19,4,0.526,80.1579,0.0,2024-02-18,The Memorial,2026-06-04
Poppy Hills,sg_ott,0.004,0.0015,0.0188,5,1,0.4,19.4,0.0,2009-02-15,The Memorial,2026-06-04
PGA National  - Champion Course,sg_arg,0.003,0.0009,0.0008,2,0,0.5,39.5,0.0,2025-03-02,The Memorial,2026-06-04
PGA National Resort (The Champion),sg_arg,0.0029,0.0001,0.0063,17,0,0.529,69.6471,0.0,2023-02-26,The Memorial,2026-06-04
Arnold Palmer's Bay Hill Club & Lodge,sg_app,0.0076,-0.0006,0.0163,21,3,0.619,76.2857,0.0,2025-03-09,The Memorial,2026-06-04
Torrey Pines Golf Course (North Course),sg_putt,0.0013,-0.0012,0.0497,20,6,0.5,25.9,0.0,2025-01-25,The Memorial,2026-06-04
TPC Scottsdale (Stadium Course),sg_putt,0.0097,-0.0013,0.0148,20,3,0.65,74.55,0.0,2025-02-09,The Memorial,2026-06-04
Spyglass Hill Golf Course,sg_app,0.0038,-0.0021,0.056,20,4,0.5,18.8,0.0,2025-02-02,The Memorial,2026-06-04
The Riviera Country Club,sg_total,-0.0029,-0.0027,0.0064,19,1,0.474,80.1579,0.0,2024-02-18,The Memorial,2026-06-04
Innisbrook Resort and Golf Club - Copperhead Course,sg_putt,0.001,-0.0042,0.0093,18,1,0.667,70.8333,0.0,2025-03-23,The Memorial,2026-06-04
Golf Club of Houston,sg_putt,-0.0153,-0.0043,0.0065,12,1,0.25,70.3333,0.0,2018-04-01,The Memorial,2026-06-04
Waialae Country Club,sg_putt,-0.0051,-0.0046,0.0164,20,3,0.55,62.8,0.0,2025-01-12,The Memorial,2026-06-04
Spyglass Hill Golf Course,sg_arg,0.0067,-0.0048,0.0321,20,4,0.55,18.8,0.0,2025-02-02,The Memorial,2026-06-04
Club de Golf Chapultepec,sg_app,-0.0001,-0.0061,0.0155,4,0,0.5,40.5,0.0,2020-02-23,The Memorial,2026-06-04
