rank,player_name,dg_id,lead_in_z,lead_in_raw,predictors_found,top_course,tournament,as_of_date
116,"Novak, Andrew",23475,-0.882,-0.1538,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
117,"Gerard, Ryan",29767,-0.991,-0.178,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
118,"Garnett, Brice",11451,-0.995,-0.179,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
119,"Kohles, Ben",16395,-1.036,-0.188,6,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
120,"Power, Seamus",10104,-1.107,-0.2038,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
121,"Stevens, Sam",25569,-1.112,-0.2049,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
122,"Simpson, Webb",11049,-1.117,-0.2061,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
123,"Kim, Tom",24766,-1.193,-0.2229,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
124,"Bhatia, Akshay",26096,-1.238,-0.233,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
125,"Hoge, Tom",15575,-1.532,-0.2983,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
126,"Harman, Brian",8825,-2.214,-0.4498,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
127,"Suber, Jackson",29279,-2.366,-0.4836,4,TPC Louisiana,Charles Schwab Challenge,2026-05-28
128,"Martin, Ben",14007,-5.475,-1.1747,6,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
